t_s,soc_p5,soc_p50,soc_p95
8.500000000000000000e+02,7.824349942287508464e-01,7.839484297257440781e-01,7.849835829500988460e-01
8.550000000000000000e+02,7.812816253952029610e-01,7.828038862853305968e-01,7.838450596245102320e-01
8.600000000000000000e+02,7.801292272173027120e-01,7.816603148932379508e-01,7.827075091069162216e-01
8.650000000000000000e+02,7.789777926014262999e-01,7.805177084988341729e-01,7.815709243757358315e-01
8.700000000000000000e+02,7.778273144946811213e-01,7.793760600921401105e-01,7.804352984499800527e-01
8.750000000000000000e+02,7.766777858847027094e-01,7.782353627036255883e-01,7.793006243890490126e-01
8.800000000000000000e+02,7.755291997994514519e-01,7.770956094040071260e-01,7.781668952925303584e-01
8.850000000000000000e+02,7.743815493070091982e-01,7.759567933040453225e-01,7.770341042999955317e-01
8.900000000000000000e+02,7.732348275153761996e-01,7.748189075543414628e-01,7.759022445907981513e-01
8.950000000000000000e+02,7.720890275722684937e-01,7.736819453451360129e-01,7.747713093838718423e-01
9.000000000000000000e+02,7.709441426649149554e-01,7.725458999061058929e-01,7.736412919375286190e-01
9.050000000000000000e+02,7.698001660198547924e-01,7.714107645061629714e-01,7.725121855492576017e-01
9.100000000000000000e+02,7.686570909027360399e-01,7.702765324532528934e-01,7.713839835555232893e-01
9.150000000000000000e+02,7.675149106181132774e-01,7.691431970941530194e-01,7.702566793315651639e-01
9.200000000000000000e+02,7.663736185092464570e-01,7.680107518142726963e-01,7.691302662911976284e-01
9.250000000000000000e+02,7.652332079578997304e-01,7.668791900374516413e-01,7.680047378866090568e-01
9.300000000000000000e+02,7.640936723841403877e-01,7.657485052257613223e-01,7.668800876081632856e-01
9.350000000000000000e+02,7.629550052461396836e-01,7.646186908793040082e-01,7.657563089841994408e-01
9.400000000000000000e+02,7.618172000399713317e-01,7.634897405360145939e-01,7.646333955808340965e-01
9.450000000000000000e+02,7.606802502994139958e-01,7.623616477714608708e-01,7.635113410017623226e-01
9.500000000000000000e+02,7.595441495957506728e-01,7.612344061986466848e-01,7.623901388880606200e-01
9.550000000000000000e+02,7.584088915375716278e-01,7.601080094678136501e-01,7.612697829179891906e-01
9.600000000000000000e+02,7.572744697705751094e-01,7.589824512662429745e-01,7.601502668067953161e-01
9.650000000000000000e+02,7.561408779773711730e-01,7.578577253180606155e-01,7.590315843065177370e-01
9.700000000000000000e+02,7.550081098772842836e-01,7.567338253840398821e-01,7.579137292057901432e-01
9.750000000000000000e+02,7.538761592261570277e-01,7.556107452614062581e-01,7.567966953296471067e-01
9.800000000000000000e+02,7.527450198161540484e-01,7.544884787836431128e-01,7.556804765393289047e-01
9.850000000000000000e+02,7.516146854755677564e-01,7.533670198202960799e-01,7.545650667320886740e-01
9.900000000000000000e+02,7.504851500686227084e-01,7.522463622767807667e-01,7.534504598409983434e-01
9.950000000000000000e+02,7.493564074952827614e-01,7.511265000941884651e-01,7.523366498347560105e-01
1.000000000000000000e+03,7.482284516910567840e-01,7.500074272490948601e-01,7.512236307174950944e-01
1.005000000000000000e+03,7.471012766268068095e-01,7.488891377533669624e-01,7.501113965285921559e-01
1.010000000000000000e+03,7.459748763085550793e-01,7.477716256539730377e-01,7.489999413424764940e-01
1.015000000000000000e+03,7.448492447772937508e-01,7.466548850327913156e-01,7.478892592684405205e-01
1.020000000000000000e+03,7.437243761087932725e-01,7.455389100064208074e-01,7.467793444504503553e-01
1.025000000000000000e+03,7.426002644134128694e-01,7.444236947259921244e-01,7.456701910669571998e-01
1.030000000000000000e+03,7.414769038359113607e-01,7.433092333769786286e-01,7.445617933307098202e-01
1.035000000000000000e+03,7.403542885552580888e-01,7.421955201790091383e-01,7.434541454885672529e-01
1.040000000000000000e+03,7.392324127844449588e-01,7.410825493856810775e-01,7.423472418213123980e-01
1.045000000000000000e+03,7.381112707702998099e-01,7.399703152843735143e-01,7.412410766434663900e-01
1.050000000000000000e+03,7.369908567932996757e-01,7.388588121960630861e-01,7.401356443031043009e-01
1.055000000000000000e+03,7.358711651673845999e-01,7.377480344751372598e-01,7.390309391816696216e-01
1.060000000000000000e+03,7.347521902397734506e-01,7.366379765092114784e-01,7.379269556937925190e-01
1.065000000000000000e+03,7.336339263907791786e-01,7.355286327189466400e-01,7.368236882871057603e-01
1.070000000000000000e+03,7.325163680336252980e-01,7.344199975578648010e-01,7.357211314420637471e-01
1.075000000000000000e+03,7.313995096142631436e-01,7.333120655121685427e-01,7.346192796717609941e-01
1.080000000000000000e+03,7.302833456111900157e-01,7.322048311005600052e-01,7.335181275217520502e-01
